"agency_code","collection_id","collection_date","surv_year","species_display_name","sex_type","trap_acronym","trap_problem_bit","num_trap","trap_nights","num_count","site_code","agency_id","county","collection_longitude","collection_latitude","spatial_feature","multiple_features"
"AGENCY",1374818,2015-01-22,2015,"Cx pipiens","female","GRVD",FALSE,1,6,1,136114,1,"County 1",-121.141906046945,38.756612892275,"Zone A",FALSE
"AGENCY",1368247,2015-01-10,2015,"Cx stigmatosoma","female","NJLT",FALSE,1,8,2,204115,1,"County 1",-121.162423279489,38.70444694451,"Zone B",FALSE
"AGENCY",1366915,2015-01-02,2015,"Cs inornata","male","NJLT",FALSE,1,15,1,124114,1,"County 1",-121.165919040377,38.7891131505506,"Zone A",FALSE
"AGENCY",1366929,2015-01-02,2015,"Cs inornata","female","NJLT",FALSE,1,15,22,201133,1,"County 1",-121.346981491707,38.7553600127992,"Zone B",FALSE
"AGENCY",1377676,2015-01-29,2015,"Cs inornata","female","NJLT",FALSE,1,7,38,145114,1,"County 1",-121.271175554024,38.8092744508506,"Zone C",FALSE
"AGENCY",1377690,2015-01-29,2015,"Cs incidens","female","NJLT",FALSE,1,7,2,204115,1,"County 1",-121.252842150958,38.6858273651638,"Zone B",FALSE
"AGENCY",1374255,2015-01-22,2015,"Cs inornata","male","NJLT",FALSE,1,6,3,253115,1,"County 1",-121.096473297425,38.7596749253234,"Zone A",FALSE
"AGENCY",1377683,2015-01-29,2015,"Cs inornata","female","NJLT",FALSE,1,7,23,155114,1,"County 1",-121.319294334816,38.7919847894574,"Zone B",FALSE
"AGENCY",1368225,2015-01-10,2015,"Cs inornata","female","NJLT",FALSE,1,8,1,136114,1,"County 1",-121.304201911577,38.8119807476772,"Zone C",FALSE
"AGENCY",1366915,2015-01-02,2015,"Cs inornata","male","NJLT",FALSE,1,15,1,124114,1,"County 1",-121.165919040377,38.7891131505506,"Zone A",FALSE
"AGENCY",1377722,2015-01-29,2015,"Cx pipiens","male","GRVD",FALSE,1,7,1,144114,1,"County 1",-121.253293958728,38.8508539352365,"Zone C",FALSE
"AGENCY",1370787,2015-01-16,2015,"Cs inornata","male","NJLT",FALSE,1,6,2,242114,1,"County 1",-121.226622550496,38.8321031256694,"Zone C",FALSE
"AGENCY",1370670,2015-01-16,2015,"Cx pipiens","female","NJLT",FALSE,1,6,1,155114,1,"County 1",-121.262130539148,38.8648148801892,"Zone C",FALSE
"AGENCY",1368105,2015-01-10,2015,"Cs inornata","female","NJLT",FALSE,1,8,4,221114,1,"County 1",-121.268513511675,38.8595838314326,"Zone C",FALSE
"AGENCY",1377700,2015-01-29,2015,"Cs inornata","female","NJLT",FALSE,1,7,6,144114,1,"County 1",-121.296392248635,38.8415329110068,"Zone C",FALSE
"AGENCY",1367019,2015-01-02,2015,"Cx tarsalis","female","MMT",FALSE,1,15,2,144114,1,"County 1",-121.20563688761,38.7983292085833,"Zone A",FALSE
