"","agency_code","id","surv_year","collection_date","site_code","species_display_name","sex_type","trap_acronym","num_count","test_target_acronym","test_method_name","test_status_name","agency_id","pool_longitude","pool_latitude"
"1","AGENCY",498839,2015,2015-06-26,142959,"Cx pipiens","female","GRVD",10,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.232155294584,38.8083471063668
"2","AGENCY",494212,2015,2015-06-08,251965,"Cx pipiens","female","GRVD",38,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.231453471386,38.7446039962701
"3","AGENCY",515261,2015,2015-08-09,203984,"Cx tarsalis","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.298544924169,38.8541539949836
"4","AGENCY",531505,2015,2015-10-01,5,"Cx tarsalis","female","CO2",10,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.227475933537,38.7781959592057
"5","AGENCY",504676,2015,2015-07-10,144964,"Cx pipiens","female","GRVD",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.298976120224,38.8369632042628
"6","AGENCY",516051,2015,2015-08-10,134956,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Confirmed",1,-121.213540210877,38.7074327053944
"7","AGENCY",512811,2015,2015-08-03,203976,"Cx tarsalis","female","CO2",4,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.218055367158,38.8164528005944
"8","AGENCY",508199,2015,2015-07-20,270958,"Cx pipiens","female","CO2",2,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.119059111834,38.7898473911412
"9","AGENCY",506700,2015,2015-07-17,233040,"Cx pipiens","female","GRVD",23,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.209191361938,38.8319006914671
"10","AGENCY",513367,2015,2015-07-06,181,"Cx pipiens","female","GRVD",88,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.081330377696,38.759360813342
